country,GDP_per_capita,Life_expectancy,School_enrollment,CO2_equivalent,Electricity_access,Unemployment_rate
Albania,6027.91350716348,77.824,75.1401824951172,3.16284882617225,100.0,11.639
Argentina,8535.59938004389,75.878,76.186653137207,7.83675372380909,100.0,11.461
Armenia,4268.68093304583,73.3756097560976,46.5517082214355,3.47182171197029,100.0,18.175
Azerbaijan,4229.91064904503,70.312,44.685131072998,5.38325063179169,100.0,7.24
Bangladesh,2248.85078828233,71.421,45.5989532470703,1.21915399307451,96.2,5.539
Belarus,6542.85579976768,72.1385609756098,99.1062774658203,9.77809907769251,100.0,4.049
Belize,5238.54078175696,71.58,46.5851211547852,2.3476761204876,96.8,10.763
Benin,1200.19426557789,60.154,22.2156791687012,1.35149744429471,41.0,1.518
Bhutan,3191.66906999331,72.253,32.696460723877,3.52906340989551,100.0,5.03
Bolivia,3580.96761778303,62.906,78.4713287353516,4.16738777514008,97.2,7.903
Bosnia and Herzegovina,6130.31187968266,76.04,27.2759609222412,9.23664031904476,100.0,15.868
Brazil,7074.19407495707,74.506,85.9419708251953,5.73183731329906,99.7,13.697
Burkina Faso,825.237038782475,60.454,6.37286996841431,1.40582130474438,18.5,4.59
Burundi,255.8324539389,62.569,16.4923000335693,0.535918261626582,9.1,1.03
Cambodia,2081.73914242939,70.059,27.3292503356934,2.80750787690681,86.4,0.172
China,10627.4637989619,78.019,90.4898223876953,10.0844940826306,100.0,5.0
Colombia,5339.68711357943,74.757,85.9283218383789,3.94322559410778,99.7,15.983
"Congo, Dem. Rep.",486.425572682256,60.428,6.86351013183594,0.51701011599146,20.1,5.355
Cote d'Ivoire,2179.72934832935,60.14,10.6196899414063,1.04237011847888,69.9,2.588
Cuba,9605.27914559614,77.407,97.2242431640625,3.08544271235503,99.9,2.233
Djibouti,2844.88810647853,64.2,10.489800453186,1.95677115567668,64.5,27.701
Dominican Republic,7135.22273255899,72.636,57.5987586975098,3.86189511550376,100.0,6.126
Ecuador,5463.64515348598,72.004,56.0483016967773,3.64540995374177,98.9,6.116
Fiji,4620.6457238014,66.924,33.944149017334,2.34752662129507,97.1,5.054
"Gambia, The",720.335143352133,64.418,43.6728782653809,0.694429814292693,62.2,5.84
Georgia,4300.85701291207,73.509,95.2487030029297,4.70825601523189,100.0,11.734
Ghana,2195.45481659987,64.309,116.13671875,1.43314957763326,85.4,3.178
Guatemala,4477.61785000665,69.971,47.6094512939453,2.27828308797583,96.6,2.965
Guinea,1053.66097696415,59.35,17.6161594390869,1.96625833331277,44.7,6.007
Honduras,2307.61494319511,70.864,39.3609008789063,2.01645513081493,93.1,10.982
India,1907.04251637669,70.156,61.0889358520508,2.46756476289856,96.5,7.859
"Iran, Islamic Rep.",3202.50003502169,74.141,72.4765472412109,10.372805362872,100.0,9.687
Jordan,4022.0401356135,75.583,31.5464992523193,2.76098209812072,99.9,19.213
Kazakhstan,8781.50797787648,71.195,74.1345901489258,15.2115296299678,100.0,4.89
Kyrgyz Republic,1229.51766602907,71.8,40.7212295532227,3.03264831127066,99.9,5.945
Lao PDR,2583.77730696131,68.339,49.2228469848633,4.56294145823615,99.3,2.349
Liberia,616.787867006715,61.267,128.478256225586,0.817658074249684,27.6,4.102
Malaysia,9957.52626697613,76.057,96.7450714111328,8.52352220114526,100.0,4.54
Maldives,7393.8886543933,78.713,76.0612411499023,2.74736217383165,100.0,5.42
Mali,953.242943290974,58.858,7.59596967697144,1.95913333784044,50.6,3.528
Mauritius,9135.84773751062,74.1770731707317,102.004051208496,4.37175260305178,99.5,8.626
Mexico,8841.27075039868,70.449,70.5982513427734,5.04835943018944,99.4,4.44
Moldova,4375.7788930524,69.914,94.1706237792969,4.69991992804909,100.0,1.206
Mongolia,4001.25193077703,71.3490243902439,85.8690795898438,20.9728348487198,99.5,6.413
Morocco,3268.0302734375,73.133,60.4151496887207,2.84990179369197,100.0,11.189
Namibia,3878.58982993966,64.071,34.6640625,4.0767937987996,52.3,21.003
Nepal,1154.21517578318,69.106,104.245063781738,1.7198167791607,89.9,13.037
Nicaragua,1938.44704754382,70.766,69.0436401367188,2.7146953810104,86.0,6.18
Niger,579.512495758236,59.89,7.41352987289429,1.56823117064942,18.7,0.591
North Macedonia,6659.59651070776,74.3951219512195,31.04128074646,5.54300251491818,100.0,16.575
Paraguay,5365.47220721104,72.72,51.0917205810547,6.44854377194495,99.7,7.548
Peru,6133.32552410183,73.832,102.908027648926,2.44047709859796,96.2,7.179
Philippines,3227.57910235199,70.097,88.9706039428711,2.00876481906914,96.4,2.522
Senegal,1461.08720350553,67.496,16.9158706665039,1.61781200185667,64.3,3.432
Sierra Leone,845.277557920549,59.694,20.8393993377686,0.868770882943291,26.3,3.509
South Africa,5580.60383075189,65.15,17.5463600158691,9.52734998975684,90.0,29.217
Sri Lanka,3847.60137695639,76.928,71.8412780761719,1.63706373465943,100.0,5.364
St. Lucia,8411.07474936367,72.308,78.046028137207,2.3741935483871,100.0,25.224
St. Vincent and the Grenadines,8351.20324040982,69.605,113.829132080078,1.70005602457354,100.0,20.635
Suriname,4755.39221710693,72.321,88.3974533081055,6.1914008593588,98.4,8.973
Tanzania,1117.41528320313,66.771,78.1435089111328,1.34288900437208,39.9,1.792
Thailand,6985.64393892574,77.331,75.217399597168,5.63792760071804,100.0,1.099
Timor-Leste,1630.86938521256,66.919,27.8652362823486,1.44345663408627,96.0,2.808
Togo,863.468665870276,61.14,29.7504291534424,1.07880069944589,54.1,2.231
Tonga,4792.35854741522,72.379,48.3202590942383,2.91379701808825,99.9,2.712
Turkiye,8798.11791709313,76.525,39.7459297180176,6.51713120443707,100.0,13.148
Turkmenistan,5972.72356566861,68.846,35.9144515991211,15.8108620655916,100.0,4.489
Ukraine,3709.76928710938,73.283,85.8198318481445,6.55163850217236,100.0,9.475
Uzbekistan,1978.28051860763,71.461,41.4435691833496,5.90234336712521,100.0,5.293
Vanuatu,3042.98711598286,70.385,102.605842590332,2.08359823059781,67.3,4.046
Viet Nam,3534.03953482647,75.383,92.7634811401367,5.0260926397731,99.8,2.103
Zimbabwe,2059.67445384499,61.53,72.5255966186523,1.59682996360893,52.7,8.617
